Qty,Value,RefDes,Footprint,Manufacturer,ManufacturerPN,Vendor,VendorPN
32,LED,"DS1,DS10,DS11,DS12,DS13,DS14,DS15,DS16,DS17,DS18,DS19,DS2,DS20,DS21,DS22,DS23,DS24,DS25,DS26,DS27,DS28,DS29,DS3,DS30,DS31,DS32,DS4,DS5,DS6,DS7,DS8,DS9",LED_THT:LED_D5.0mm,N/A,N/A,N/A,N/A
1,CONN_02X02,J6,Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical,N/A,N/A,N/A,N/A
1,CONN_4,J3,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,N/A,N/A,N/A,N/A
1,Conn_01x02,J1,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,N/A,N/A,N/A,N/A
1,Conn_01x05,J2,Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical,N/A,N/A,N/A,N/A
4,MTG_HOLE,"MTG1,MTG2,MTG3,MTG4",LandBoards_MountHoles:MTG-6-32,N/A,N/A,N/A,N/A
4,10K,"R3,R4,R6,R7",Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,N/A,N/A,N/A,N/A
2,2.2K,"R1,R2",Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,N/A,N/A,N/A,N/A
32,560,"R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R5,R8,R9",Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,N/A,N/A,N/A,N/A
32,SW_Push,"SW1,SW10,SW11,SW12,SW13,SW14,SW15,SW16,SW17,SW18,SW19,SW2,SW20,SW21,SW22,SW23,SW24,SW25,SW26,SW27,SW28,SW29,SW3,SW30,SW31,SW32,SW4,SW5,SW6,SW7,SW8,SW9",Button_Switch_THT:SW_PUSH_6mm,N/A,N/A,N/A,N/A
1,CONN_1,TEST1,LandBoards_Marking:TEST_BLK-REAR,N/A,N/A,N/A,N/A
4,MCP23017-E/SS,"U1,U2,U3,U4",Package_SO:SSOP-28_5.3x10.2mm_P0.65mm,N/A,N/A,N/A,N/A
